Vegetable ID,Name,Scientific Name,Category,Color,Season,Origin,Nutritional Value (per 100g),Price (per kg),Availability,Shelf Life (days),Storage Requirements,Growing Conditions,Health Benefits,Common Varieties
1,Carrot,Daucus carota,Root,Orange,Winter,Middle East,"41 kcal, 0.9g protein, 2.8g fiber",$1.50,Year-round,30,Refrigeration,"Well-drained soil, full sunlight","Improves vision, rich in Vitamin A","Nantes, Imperator, Chantenay"
2,Spinach,Spinacia oleracea,Leafy,Green,Spring/Fall,Central Asia,"23 kcal, 2.9g protein, 2.2g fiber",$2.00,Year-round,7,Refrigeration,"Moist soil, partial shade","High in iron, good for bone health","Savoy, Flat-leaf, Semi-savoy"
3,Tomato,Solanum lycopersicum,Fruit,Red,Summer,South America,"18 kcal, 0.9g protein, 1.2g fiber",$3.00,Seasonal,7,"Cool, dry place","Well-drained soil, full sunlight","Rich in antioxidants, supports heart health","Roma, Cherry, Beefsteak"
4,Broccoli,Brassica oleracea,Flower,Green,Fall/Winter,Mediterranean,"34 kcal, 2.8g protein, 2.6g fiber",$2.50,Year-round,10,Refrigeration,"Cool climate, well-drained soil","Boosts immune system, rich in Vitamin C","Calabrese, Sprouting, Romanesco"
5,Potato,Solanum tuberosum,Tuber,Brown,Fall,South America,"77 kcal, 2g protein, 2.2g fiber",$1.20,Year-round,60,"Cool, dark place","Loose soil, moderate watering","Provides energy, good source of potassium","Russet, Yukon Gold, Red"
6,Bell Pepper,Capsicum annuum,Fruit,"Red, Green, Yellow",Summer,Central America,"31 kcal, 1g protein, 2.1g fiber",$3.50,Year-round,10,Refrigeration,"Warm climate, full sunlight","Rich in Vitamin C, supports immune system","Green, Red, Yellow, Orange"
7,Kale,Brassica oleracea var. sabellica,Leafy,Dark Green,Fall/Winter,Europe,"49 kcal, 4.3g protein, 2g fiber",$5.00,Year-round,7,Refrigeration,"Cool climate, rich soil","High in antioxidants, promotes heart health","Curly, Lacinato, Red Russian"
8,Eggplant,Solanum melongena,Fruit,Purple,Summer,India,"25 kcal, 1g protein, 3g fiber",$2.20,Year-round,7,"Cool, dry place","Warm climate, well-drained soil","Supports brain health, high in fiber","Black Beauty, Japanese, Graffiti"
9,Zucchini,Cucurbita pepo,Fruit,Green,Summer,Central America,"17 kcal, 1.2g protein, 1g fiber",$1.80,Seasonal,5,Refrigeration,"Warm climate, well-drained soil","Low in calories, supports digestion","Black Zucchini, Round, Yellow"
10,Cauliflower,Brassica oleracea var. botrytis,Flower,White,Fall/Winter,Mediterranean,"25 kcal, 1.9g protein, 2g fiber",$3.00,Year-round,10,Refrigeration,"Cool climate, rich soil","Rich in fiber, supports digestive health","White, Purple, Romanesco"
11,Cabbage,Brassica oleracea var. capitata,Leafy,"Green, Purple",Fall/Winter,Europe,"25 kcal, 1.3g protein, 2g fiber",$1.00,Year-round,15,Refrigeration,"Cool climate, moist soil","Good for digestion, rich in Vitamin K","Green, Red, Savoy"
12,Sweet Potato,Ipomoea batatas,Tuber,Orange,Fall,Central America,"86 kcal, 1.6g protein, 3g fiber",$2.50,Year-round,30,"Cool, dark place","Well-drained soil, full sunlight","Rich in beta-carotene, promotes eye health","Beauregard, Jewel, Japanese"
13,Green Beans,Phaseolus vulgaris,Legume,Green,Summer,South America,"31 kcal, 1.8g protein, 2.7g fiber",$2.00,Year-round,7,Refrigeration,"Warm climate, well-drained soil","High in Vitamin K, supports bone health","Bush, Pole, French"
14,Onion,Allium cepa,Bulb,"Yellow, Red, White",Summer,Central Asia,"40 kcal, 1.1g protein, 1.7g fiber",$1.20,Year-round,60,"Cool, dry place","Loose soil, moderate watering","Anti-inflammatory, supports heart health","Yellow, Red, White"
